time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_accel,pitch_accel,roll_ekf,pitch_ekf,roll_madgwick,pitch_madgwick,roll_fused,pitch_fused
1021.342,0.955,-0.26,-0.511,0.097,-1.667,-0.111,-153.03272296916714,-59.021160610700186,-76.89703545284362,-29.657482194250736,-0.00029132035833069473,-0.0012723714122936038,-38.44866338660098,-14.829377282831516
1021.398,0.951,-0.258,-0.512,-0.033,0.929,0.164,-153.25617942015776,-58.915430359994716,-102.87965370507536,-39.57825362184495,-0.17020782068460671,-0.5685549294686997,-51.52493076287998,-20.073404275656824
1021.455,0.96,-0.259,-0.5,0.074,-0.255,0.019,-152.61584336600367,-59.60573665936551,-116.11128200780736,-44.91594051432223,-0.33625584872972,-1.213601215737718,-58.22376892826854,-23.064770865029974
1021.511,0.954,-0.261,-0.505,-0.018,-0.3,0.027,-152.66864656179987,-59.21058353038578,-124.50678899726276,-48.2123859673918,-0.5067297039877733,-1.8491051952553597,-62.506759350625266,-25.030745581323583
1021.567,0.96,-0.263,-0.497,0.265,0.272,0.324,-152.11332360271734,-59.64137971703075,-130.421752516404,-50.64410740056834,-0.6622384624301251,-2.4521197868148557,-65.54199548941708,-26.548113593691596
1021.623,0.954,-0.256,-0.504,-0.071,-0.201,-0.004,-153.0723221489595,-59.351289049016906,-135.23623293267426,-52.511675111886774,-0.8327417729095237,-3.082381448512579,-68.03448735279188,-27.797028280199676
1021.68,0.966,-0.26,-0.486,-0.071,0.051,-0.057,-151.85413537169637,-60.29193399770913,-139.0036904639188,-54.21267230791736,-1.0066695042281777,-3.7090753726166117,-70.00517998407348,-28.960873840266984
1021.736,0.955,-0.251,-0.497,0.02,0.486,0.256,-153.2048465278248,-59.756900460900134,-142.4130835919551,-55.536535904904454,-1.170205145469446,-4.300611061761588,-71.79164436871227,-29.91857348333302
1021.793,0.958,-0.258,-0.504,0.081,-0.461,-0.157,-152.89187712919824,-59.41603296997967,-145.30619795882333,-56.667638001333636,-1.335398538478568,-4.955653596739348,-73.32079824865095,-30.81164579903649
1021.849,0.96,-0.265,-0.499,-0.193,0.135,-0.095,-152.02892141757218,-59.52137630274939,-147.63352201769416,-57.61897593582476,-1.5170421109321477,-5.564216689697433,-74.57528206431316,-31.591596312761094
1021.905,0.956,-0.264,-0.495,-0.003,0.089,-0.05,-151.92751306414706,-59.59473330040163,-149.58664047501793,-58.44472847766283,-1.6885744357839787,-6.1746692278896465,-75.63760745540095,-32.309698852776236
1021.962,0.957,-0.259,-0.5,0.02,-0.003,0.095,-152.61584336600367,-59.527415305892994,-151.37129218914677,-59.14238604312707,-1.8599451846301605,-6.801192152327894,-76.61561868688847,-32.97178909772748
1022.019,0.957,-0.262,-0.503,-0.3,-0.102,0.08,-152.4861306992901,-59.34784806711403,-152.84761083102435,-59.69371299512557,-2.0515456377159436,-7.432163353885911,-77.44957823437015,-33.56293817450574
1022.075,0.951,-0.256,-0.497,0.02,-0.194,-0.141,-152.74743246828294,-59.550326105583615,-154.06392236953428,-60.1728419660779,-2.2181376330729106,-8.05755516545676,-78.14103000130359,-34.11519856576733
1022.131,0.955,-0.26,-0.499,-0.033,0.15,0.019,-152.4785898201591,-59.493983158256476,-154.9983930687284,-60.53166883356101,-2.390778362527352,-8.662131887684183,-78.69458571562788,-34.5969003606226
1022.188,0.959,-0.259,-0.494,0.188,0.196,-0.095,-152.3323594404728,-59.81663560970914,-155.71595473373503,-60.87632320368159,-2.5520327145505712,-9.274643363558646,-79.1339937241428,-35.075483283620116
1022.244,0.94,-0.263,-0.502,-0.071,-0.285,-0.134,-152.34975997087932,-58.91443630551392,-156.25780279370662,-60.99870228418634,-2.730309677724564,-9.901157616591064,-79.49405623571559,-35.44992995038871
1022.3,0.958,-0.259,-0.497,-0.041,0.035,0.05,-152.47477425625567,-59.67203930130939,-156.67864306085642,-61.19527141108683,-2.903885862353741,-10.509757604191604,-79.79126446160508,-35.85251450763921
1022.356,0.939,-0.26,-0.515,-0.125,1.875,0.042,-153.21287327022856,-58.433953796753535,-157.11294780039685,-61.036202973899215,-3.0850228720906627,-11.013736863487951,-80.09898533624376,-36.024969918693586
1022.413,0.95,-0.261,-0.498,-0.041,0.035,-0.065,-152.34112889497263,-59.381169185829506,-157.28813955070592,-61.13507943751603,-3.263891424823078,-11.631079779527258,-80.2760154877645,-36.38307960852165
1022.469,0.956,-0.255,-0.504,-0.048,-0.362,0.149,-153.1627618941849,-59.423969219909445,-157.50864509216706,-61.21785547535156,-3.4390361455343355,-12.25925866293376,-80.4738406188507,-36.73855706914266
1022.526,0.938,-0.261,-0.503,-0.209,0.15,-0.05,-152.57580263647642,-58.86214630776661,-157.56806579606,-61.15268882298103,-3.630483848186982,-12.867471363104007,-80.59927482212349,-37.01008009304252
1022.582,0.952,-0.262,-0.511,0.005,-0.239,-0.042,-152.85487118706664,-58.901386867718045,-157.59203189614445,-61.09580426891139,-3.8060319769759046,-13.48611543996831,-80.69903193656017,-37.29095985443985
1022.638,0.962,-0.251,-0.497,0.158,0.501,0.072,-153.2048465278248,-59.938641974233775,-157.6207874783203,-61.17123538008219,-3.9668303327670094,-14.063961809893621,-80.79380890554366,-37.6175985949879
1022.694,0.958,-0.255,-0.503,-0.102,-0.522,-0.279,-153.11689463024138,-59.51599130473496,-157.60176704190417,-61.1986093994029,-4.141656131545288,-14.698520645850518,-80.87171158672473,-37.94856502262671
1022.75,0.957,-0.26,-0.501,-0.125,0.257,0.164,-152.57239924249382,-59.46750002071908,-157.45528968753013,-61.161887530689256,-4.326985347088493,-15.285899338943468,-80.8911375173093,-38.22389343481636
1022.806,0.953,-0.261,-0.503,-0.148,-0.216,-0.042,-152.57580263647642,-59.262971713668925,-157.2917595616091,-61.10420941307278,-4.5129888695110605,-15.89910562180907,-80.90237421556007,-38.501657517440925
1022.863,0.958,-0.258,-0.504,-0.003,0.142,0.156,-152.89187712919824,-59.41603296997967,-157.1688971525665,-61.05208442601325,-4.695198750706203,-16.501513780513125,-80.93204795163635,-38.77679910326319
1022.92,0.946,-0.263,-0.506,-0.041,0.081,-0.172,-152.536265202184,-58.917597389395745,-156.97000077166243,-60.91394801257796,-4.879647892546046,-17.106493751147976,-80.92482433210424,-39.01022088186297
1022.976,0.956,-0.26,-0.502,-0.163,-0.285,0.034,-152.61908305950791,-59.40184387190384,-156.77508634992694,-60.87438686395843,-5.069419330952951,-17.71993779803551,-80.92225284043994,-39.29716233099697
1023.033,0.951,-0.261,-0.509,-0.109,0.867,0.149,-152.85260364302823,-58.97356771309789,-156.61934972631406,-60.706582518279255,-5.262040947106941,-18.276872263423282,-80.9406953367105,-39.49172739085127
1023.089,0.96,-0.263,-0.498,-0.239,-0.445,-0.004,-152.1609079922253,-59.60210955973212,-156.3416642990309,-60.71276669930569,-5.45871173347307,-18.896681473157784,-80.90018801625199,-39.80472408623174
1023.146,0.954,-0.26,-0.506,-0.079,0.402,-0.05,-152.8043603594678,-59.19149240384792,-156.17625883392938,-60.60407737900415,-5.647618207474374,-19.47881590405358,-80.91193852070188,-40.041446641528864
1023.202,0.954,-0.267,-0.503,-0.025,-0.407,-0.065,-152.03996202737676,-59.165734866933356,-155.87553337654919,-60.532321442736986,-5.836344458669461,-20.09354770882728,-80.85593891760932,-40.31293457578214
1023.259,0.96,-0.263,-0.501,0.173,0.471,0.149,-152.30276854779072,-59.48438581748975,-155.62824862255962,-60.47214217528164,-6.017667922096848,-20.667833898244716,-80.82295827232824,-40.56998803676318
1023.316,0.954,-0.258,-0.502,-0.232,-0.224,0.057,-152.79936402875168,-59.39002248769115,-155.4901627746635,-60.43079087292407,-6.221001210378023,-21.281305767334228,-80.85558199252077,-40.85604832012915
1023.372,0.958,-0.262,-0.495,-0.14,0.058,0.011,-152.10804742995913,-59.68878386298083,-155.23049677307353,-60.419564620560564,-6.416792586602981,-21.866774828184628,-80.82364467983825,-41.1431697243726
1023.429,0.967,-0.257,-0.507,-0.109,-0.369,-0.111,-153.11939697277333,-59.55234914057775,-155.14987020170483,-60.40404264615179,-6.609790090063742,-22.487541344904578,-80.87983014588428,-41.44579199552818
1023.485,0.951,-0.26,-0.512,-0.01,0.348,0.24,-153.07797039218974,-58.875555223010565,-155.04898282583324,-60.23970187774524,-6.805441812340163,-23.05305201337163,-80.92721231908669,-41.64637694555844
1023.541,0.957,-0.268,-0.499,0.043,-0.133,0.111,-151.76090414270442,-59.380223853212186,-154.7349126046266,-60.192909008150366,-7.001315109704143,-23.643648980595074,-80.86811385716537,-41.91827899437272
1023.598,0.956,-0.263,-0.494,-0.003,-0.201,-0.149,-151.96966887497527,-59.65507927824894,-154.48303354373178,-60.19482537670137,-7.195841188815651,-24.249778399151428,-80.83943736627371,-42.2223018879264
1023.655,0.953,-0.262,-0.507,0.112,0.226,-0.095,-152.67164895763867,-59.085108755071424,-154.3546495644929,-60.08033374944355,-7.385163308308705,-24.830310156830976,-80.8699064364008,-42.45532195313726
1023.712,0.958,-0.26,-0.505,0.074,-0.354,-0.019,-152.75825848264267,-59.336179676258865,-154.24700984042656,-60.04277106799203,-7.580157492843185,-25.442173862235062,-80.91358366663488,-42.74247246511354
1023.768,0.955,-0.26,-0.5,0.036,0.28,-0.141,-152.52556837372288,-59.45449498811502,-154.1059288401379,-59.99259795673847,-7.770321343095996,-26.00757269631019,-80.93812509161694,-43.00008532652433
1023.824,0.95,-0.263,-0.503,-0.056,-0.415,-0.111,-152.3966047261581,-59.142471279684834,-153.9574630632956,-59.929023994834054,-7.973019424617306,-26.60936515242908,-80.96524124395646,-43.269194573631566
1023.88,0.952,-0.259,-0.508,-0.201,0.287,0.164,-152.98557937421407,-59.07985865751888,-153.9190342945967,-59.82569930952962,-8.187918360212365,-27.16956757555702,-81.05347632740454,-43.49763344254332
1023.936,0.96,-0.257,-0.506,0.265,-0.117,0.103,-153.07375090013153,-59.409600089606315,-153.8705355738728,-59.80340218527774,-8.376085460293648,-27.751828793808713,-81.12331051708321,-43.77761548954322
1023.992,0.958,-0.269,-0.507,-0.094,-0.14,-0.149,-152.0508306322378,-59.0739677393293,-153.6781241400147,-59.72926957216801,-8.58592152302256,-28.334124032132646,-81.13202283151863,-44.03169680215033
