time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,roll_raw,pitch_raw,roll_filtered,pitch_filtered
1021.342,0.955,-0.26,-0.511,0.097,-1.667,-0.111,-153.03272296916714,-59.021160610700186,-0.00014294924668658714,-0.00021947094113975907
1021.398,0.951,-0.258,-0.512,-0.033,0.929,0.164,-153.25617942015776,-58.915430359994716,-0.0877052374524169,0.022239941593021027
1021.455,0.96,-0.259,-0.5,0.074,-0.255,0.019,-152.61584336600367,-59.60573665936551,-0.2563782951052411,-0.056392019868727494
1021.511,0.954,-0.261,-0.505,-0.018,-0.3,0.027,-152.66864656179987,-59.21058353038578,-0.5191247720127099,-0.17134114246763424
1021.567,0.96,-0.263,-0.497,0.265,0.272,0.324,-152.11332360271734,-59.64137971703075,-0.858425500662853,-0.29164005128431536
1021.623,0.954,-0.256,-0.504,-0.071,-0.201,-0.004,-153.0723221489595,-59.351289049016906,-1.3195602960598718,-0.47686379419253394
1021.68,0.966,-0.26,-0.486,-0.071,0.051,-0.057,-151.85413537169637,-60.29193399770913,-1.8882131902360633,-0.69472763279869
1021.736,0.955,-0.251,-0.497,0.02,0.486,0.256,-153.2048465278248,-59.756900460900134,-2.5768708327649867,-0.9335329735260373
1021.793,0.958,-0.258,-0.504,0.081,-0.461,-0.157,-152.89187712919824,-59.41603296997967,-3.396401641158496,-1.2769849662392823
1021.849,0.96,-0.265,-0.499,-0.193,0.135,-0.095,-152.02892141757218,-59.52137630274939,-4.3717708739949765,-1.6440211275102592
1021.905,0.956,-0.264,-0.495,-0.003,0.089,-0.05,-151.92751306414706,-59.59473330040163,-5.496058366327015,-2.077024535829907
1021.962,0.957,-0.259,-0.5,0.02,-0.003,0.095,-152.61584336600367,-59.527415305892994,-6.805312006155101,-2.585603655062871
1022.019,0.957,-0.262,-0.503,-0.3,-0.102,0.08,-152.4861306992901,-59.34784806711403,-8.327863639219938,-3.174858872247191
1022.075,0.951,-0.256,-0.497,0.02,-0.194,-0.141,-152.74743246828294,-59.550326105583615,-10.040191228585783,-3.8512247604360814
1022.131,0.955,-0.26,-0.499,-0.033,0.15,0.019,-152.4785898201591,-59.493983158256476,-11.976289687254361,-4.595216500519844
1022.188,0.959,-0.259,-0.494,0.188,0.196,-0.095,-152.3323594404728,-59.81663560970914,-14.145793203911058,-5.4375802036518355
1022.244,0.94,-0.263,-0.502,-0.071,-0.285,-0.134,-152.34975997087932,-58.91443630551392,-16.574257371166656,-6.38990610994444
1022.3,0.958,-0.259,-0.497,-0.041,0.035,0.05,-152.47477425625567,-59.67203930130939,-19.263648291388183,-7.437413286299367
1022.356,0.939,-0.26,-0.515,-0.125,1.875,0.042,-153.21287327022856,-58.433953796753535,-22.239331958506675,-8.46709055026935
1022.413,0.95,-0.261,-0.498,-0.041,0.035,-0.065,-152.34112889497263,-59.381169185829506,-25.48507017418083,-9.729722102404835
1022.469,0.956,-0.255,-0.504,-0.048,-0.362,0.149,-153.1627618941849,-59.423969219909445,-29.01015829202569,-11.117616008351106
1022.526,0.938,-0.261,-0.503,-0.209,0.15,-0.05,-152.57580263647642,-58.86214630776661,-32.82449148022707,-12.578161981298916
1022.582,0.952,-0.262,-0.511,0.005,-0.239,-0.042,-152.85487118706664,-58.901386867718045,-36.88138300005001,-14.157042452299997
1022.638,0.962,-0.251,-0.497,0.158,0.501,0.072,-153.2048465278248,-59.938641974233775,-41.192655385986264,-15.82133198116098
1022.694,0.958,-0.255,-0.503,-0.102,-0.522,-0.279,-153.11689463024138,-59.51599130473496,-45.75388936607502,-17.623664729804098
1022.75,0.957,-0.26,-0.501,-0.125,0.257,0.164,-152.57239924249382,-59.46750002071908,-50.51708261045552,-19.466529719542766
1022.806,0.953,-0.261,-0.503,-0.148,-0.216,-0.042,-152.57580263647642,-59.262971713668925,-55.47467943449227,-21.404581136861584
1022.863,0.958,-0.258,-0.504,-0.003,0.142,0.156,-152.89187712919824,-59.41603296997967,-60.637084849396366,-23.406889188968545
1022.92,0.946,-0.263,-0.506,-0.041,0.081,-0.172,-152.536265202184,-58.917597389395745,-65.93246423670438,-25.450460117838254
1022.976,0.956,-0.26,-0.502,-0.163,-0.285,0.034,-152.61908305950791,-59.40184387190384,-71.30981410635196,-27.561104306146607
1023.033,0.951,-0.261,-0.509,-0.109,0.867,0.149,-152.85260364302823,-58.97356771309789,-76.80796367227097,-29.63530987502996
1023.089,0.96,-0.263,-0.498,-0.239,-0.445,-0.004,-152.1609079922253,-59.60210955973212,-82.28421659662402,-31.810917303415945
1023.146,0.954,-0.26,-0.506,-0.079,0.402,-0.05,-152.8043603594678,-59.19149240384792,-87.8319368158827,-33.941754867166225
1023.202,0.954,-0.267,-0.503,-0.025,-0.407,-0.065,-152.03996202737676,-59.165734866933356,-93.27228216165469,-36.089716968915134
1023.259,0.96,-0.263,-0.501,0.173,0.471,0.149,-152.30276854779072,-59.48438581748975,-98.70669989859502,-38.20231129608893
1023.316,0.954,-0.258,-0.502,-0.232,-0.224,0.057,-152.79936402875168,-59.39002248769115,-104.10754884751773,-40.317816516826625
1023.372,0.958,-0.262,-0.495,-0.14,0.058,0.011,-152.10804742995913,-59.68878386298083,-109.30736777909203,-42.37166298168774
1023.429,0.967,-0.257,-0.507,-0.109,-0.369,-0.111,-153.11939697277333,-59.55234914057775,-114.47860370653233,-44.40980948972435
1023.485,0.951,-0.26,-0.512,-0.01,0.348,0.24,-153.07797039218974,-58.875555223010565,-119.43672569753937,-46.2908798521648
1023.541,0.957,-0.268,-0.499,0.043,-0.133,0.111,-151.76090414270442,-59.380223853212186,-124.14640485567026,-48.16086956296634
1023.598,0.956,-0.263,-0.494,-0.003,-0.201,-0.149,-151.96966887497527,-59.65507927824894,-128.7408056997014,-49.99955652776907
1023.655,0.953,-0.262,-0.507,0.112,0.226,-0.095,-152.67164895763867,-59.085108755071424,-133.1746122408099,-51.70413904798361
1023.712,0.958,-0.26,-0.505,0.074,-0.354,-0.019,-152.75825848264267,-59.336179676258865,-137.41053702474855,-53.375732073698614
1023.768,0.955,-0.26,-0.5,0.036,0.28,-0.141,-152.52556837372288,-59.45449498811502,-141.3672738300021,-54.915551834858334
